File system;File system;Creator;Year of introduction;Original operating system;File system;Stores file owner;POSIX file permissions;Creation timestamps;Last access/ read timestamps;Last metadata change timestamps;Last archive timestamps;Access control lists;Security/ MAC labels;Extended attributes/ Alternate data streams/ forks;Metadata checksum/ ECC;File system;Hard links;Symbolic links;Block journaling;Metadata-only journaling;Case-sensitive;Case-preserving;File Change Log;XIP;Resident files (inline data);File system;Internal snapshotting / branching;Encryption;Deduplication;Data checksum/ ECC;Persistent Cache;Multiple Devices;Compression;Self-healing(aw);File system;Host OS;Offline grow;Online grow;Offline shrink;Online shrink;Add and remove physical volumes;File system;Sparse files;Block suballocation;Tail packing;Extents;Variable file block size(bj);Allocate-on-flush;Copy on write;Trim support;File system;DOS;Linux;macOS;Windows 9x;Windows NT;classic Mac OS;FreeBSD;OS/2;BeOS;Minix;Solaris;z/OS;Android(63);File system;Maximum filename length;Allowable characters in directory entries(bx);Maximum pathname length;Maximum file size;Maximum volume size(by);Max number of files
ADFS;ADFS;Acorn Computers Ltd;1983;Acorn Electron (later Arthur/RISC OS);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AdvFS;AdvFS;DEC;1993[4];Digital Unix;AdvFS;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;AdvFS;255 characters;Any byte except NUL[bz];No limit defined[ca];16 TiB (17.59 TB);16 TiB (17.59 TB);?
Amiga FFS;Amiga FFS;Commodore;1988;Amiga OS 1.3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Amiga OFS;Amiga OFS;Metacomco for Commodore;1985;Amiga OS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
APFS;APFS;Apple;2016;macOS High Sierra, iOS 10.3;APFS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;APFS;Yes;Yes;?;?;Optional;Yes;?;?;?;APFS;Yes;Yes;Yes [28];No;No;No;Yes;No;APFS;macOS;?;?;?;?;?;APFS;Yes;?;?;Yes;?;Yes;Yes;Yes(54)(55);APFS;No;Partial (read-only with apfs-fuse[64] or linux-apfs[65]);Yes;No;No;No;No;No;No;No;No;No;No;APFS;255 UTF-8 characters;Unicode 9.0 encoded in UTF-8[89];?;8 EiB (9.223 EB);?;263 [90]
Atari DOS;Atari DOS;Atari;1979;Atari 8-bit;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
bcachefs;bcachefs;Kent Overstreet;2015;Linux;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BeeGFS;BeeGFS;Fraunhofer/ ThinkParQ;2005;Linux;BeeGFS;Yes;Yes;No;Yes;Yes;No;Yes;?;Yes;Yes;BeeGFS;No;Yes;Yes;Yes;Yes;Yes;No;No;?;BeeGFS;No;No;Yes;No;No;No;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BeeGFS;Yes;No;No;Yes;Yes;Yes;Yes;?;BeeGFS;No;Yes;?;No;No;No;No;No;?;?;?;No;No;BeeGFS;255 bytes;Any byte except NUL[bz];No limit defined[ca];16 EiB (18.44 EB);16 EiB (18.44 EB);?
BFS;BFS;Be Inc. (D. Giampaolo, Cyril Meurillon);1996;BeOS;BFS;Yes;Yes;Yes;No;No;No;No;No;Yes;No;BFS;Yes;Yes;No;Yes;Yes;Yes;?;No;?;BFS;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;BFS;?;No;No;Yes;No;No;?;Yes (Haiku);BFS;No;Partial - read-only;?;No;No;?;No;No;Yes;?;?;?;No;BFS;255 bytes;Any byte except NUL[bz];No limit defined[ca];12,288 bytes to 260 GiB (279.1 GB)[cb];256 PiB (288.2 PB) to 2 EiB (2.305 EB);Unlimited
BlueStore/Cephfs;BlueStore/Cephfs;Red Hat, University of California, Santa Cruz;2017;Linux;BlueStore/Cephfs;Yes;Yes;Yes;Yes;?;No;Yes;Yes;Yes;Yes;BlueStore/Cephfs;Yes;Yes;Yes;Yes;Yes;Yes;No;No;?;BlueStore/Cephfs;Yes;No;No;Yes;Yes;Yes;Yes;Yes;BlueStore/Cephfs;Linux;No;Yes;No;Yes;Yes;BlueStore/Cephfs;Yes;?;?;?;?;No;Yes;Yes;BlueStore/Cephfs;No;Yes;No[bv];No;No[bw];No;No[bv];No;No;No;No;No;No;BlueStore/Cephfs;?;"any byte, except null, ""/""";No limit defined;Max. 264 bytes, 1 TiB (1.099 TB) by default [91];Not limited;Not limited, default is 100,000 files per directory [92]
